dataset,field,classification,rationale,source_dictionary_classification
Real Estate Licenses,legal_type_arabic,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,legal_type_english,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,legal_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,license_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,parcel_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Licenses,participant_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Licenses,print_rmker_arabic,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,rent_contract_no,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Licenses,status_arabic,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,status_english,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,status_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,trade_name_arabic,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,trade_name_english,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Licenses,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Offices,activity_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,activity_type_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,activity_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,ded_activity_code,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,fax,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Offices,is_branch,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_expiry_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_issue_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_source_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_source_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,license_source_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,main_office_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Offices,participant_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Offices,phone,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Offices,real_estate_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,real_estate_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Offices,webpage,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Offices,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Permits,end_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,exhibition_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,exhibition_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,license_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,location,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,main_service_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,main_service_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,parent_parmits_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Permits,parent_service_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,paricipant_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,participant_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,permit_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,permits_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,permit_status_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,permit_status_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,permit_status_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,service_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,service_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,service_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,start_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Permits,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Projects,area_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,area_name_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,area_name_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,cancellation_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,completion_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,developer_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,developer_name,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,developer_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,escrow_agent_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,escrow_agent_name,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,master_developer_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,master_developer_name,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,master_developer_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,master_project_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,master_project_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,no_of_buildings,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,no_of_lands,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,no_of_units,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,no_of_villas,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,percent_completed,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_classification_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_classification_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_description_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_description_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_end_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_name,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_number,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_start_date,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_status,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_status_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_type_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,project_type_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Projects,zoning_authority_ar,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,zoning_authority_en,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,zoning_authority_id,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Real Estate Projects,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Real Estate Transactions,actual_worth,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,area_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,area_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,area_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,building_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,building_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,has_parking,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,instance_date,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,master_project_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,master_project_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,meter_rent_price,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,meter_sale_price,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_landmark_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_landmark_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_mall_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_mall_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_metro_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,nearest_metro_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,no_of_parties_role_1,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,no_of_parties_role_2,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,no_of_parties_role_3,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,procedure_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,procedure_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,procedure_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,procedure_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,project_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,project_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,project_number,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,property_sub_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_sub_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_sub_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_usage_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,property_usage_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,reg_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,reg_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,reg_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,rent_value,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,rooms_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,rooms_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Real Estate Transactions,transaction_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Real Estate Transactions,trans_group_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,trans_group_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,trans_group_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Real Estate Transactions,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Registered Freehold Real Estate Units,actual_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,actual_common_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,area_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,area_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,area_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,building_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,common_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,creation_date,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,floor,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,grandparent_property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Registered Freehold Real Estate Units,is_free_hold,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,is_lease_hold,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,is_registered,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,land_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,land_sub_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,land_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,land_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,land_type_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,master_project_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,master_project_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,master_project_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,munc_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,munc_zip_code,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,parcel_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Registered Freehold Real Estate Units,parent_property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Registered Freehold Real Estate Units,parking_allocation_type,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,parking_allocation_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,parking_allocation_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,pre_registration_number,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Registered Freehold Real Estate Units,project_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,project_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,project_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Registered Freehold Real Estate Units,property_sub_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_sub_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_sub_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,rooms,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,rooms_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,rooms_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Registered Freehold Real Estate Units,unit_balcony_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,unit_number,internal,Granular property locator; not suitable for public row-level exposure.,Open
Registered Freehold Real Estate Units,unit_parking_number,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,zone_id,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Registered Freehold Real Estate Units,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Rent Contracts,actual_area,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,annual_amount,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,area_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,area_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,area_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,contract_amount,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,contract_end_date,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,contract_id,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,Open
Rent Contracts,contract_reg_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,contract_reg_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,contract_reg_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,contract_start_date,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,ejari_bus_property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_bus_property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_bus_property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_sub_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_sub_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_sub_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,ejari_property_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,is_free_hold,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,line_number,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,master_project_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,master_project_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_landmark_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_landmark_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_mall_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_mall_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_metro_ar,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,nearest_metro_en,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,no_of_prop,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,project_name_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,project_name_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,project_number,aggregate-only,Granular property/transaction/rent measure; publish only through controlled aggregates.,Open
Rent Contracts,property_usage_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,property_usage_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,tenant_type_ar,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,tenant_type_en,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,tenant_type_id,public,"Non-personal market dimension suitable for labels, filters, and methodology.",Open
Rent Contracts,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
Residential Sale Index,all_monthly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,all_monthly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,all_quarterly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,all_quarterly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,all_yearly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,all_yearly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,first_date_of_month,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_monthly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_monthly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_quarterly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_quarterly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_yearly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,flat_yearly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_monthly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_monthly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_quarterly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_quarterly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_yearly_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,villa_yearly_price_index,public,"Open, non-personal registry/dimension field suitable for public use with DLD attribution.",Open
Residential Sale Index,load_timestamp,internal,Operational identifier/contact or ingestion metadata; retain in the controlled data layer.,
