dataset,field,classification,publication,reason
Real Estate Offices,real_estate_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Offices,webpage,internal matching field,prohibited,Pipeline lineage field.
Real Estate Offices,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Permits,end_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,exhibition_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,exhibition_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,license_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,location,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,main_service_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,main_service_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,parent_parmits_id,internal matching field,prohibited,Pipeline lineage field.
Real Estate Permits,parent_service_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,paricipant_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,participant_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,permit_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,permits_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,permit_status_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,permit_status_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,permit_status_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,service_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,service_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,service_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,start_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Permits,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Projects,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,cancellation_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,completion_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,developer_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,developer_name,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,developer_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,escrow_agent_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,escrow_agent_name,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,master_developer_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,master_developer_name,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,master_developer_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,master_project_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,master_project_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,no_of_buildings,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,no_of_lands,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,no_of_units,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,no_of_villas,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,percent_completed,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_classification_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_classification_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_description_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_description_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_end_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_name,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_number,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_start_date,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_status,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_status_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,project_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Projects,zoning_authority_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,zoning_authority_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,zoning_authority_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Projects,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Real Estate Transactions,actual_worth,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,building_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,building_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,has_parking,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,instance_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,master_project_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,master_project_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,meter_rent_price,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,meter_sale_price,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_landmark_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_landmark_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_mall_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_mall_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_metro_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,nearest_metro_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,no_of_parties_role_1,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,no_of_parties_role_2,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,no_of_parties_role_3,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,procedure_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,procedure_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,procedure_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,procedure_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,project_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,project_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,project_number,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_usage_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,property_usage_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,reg_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,reg_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,reg_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,rent_value,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,rooms_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,rooms_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Real Estate Transactions,transaction_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Real Estate Transactions,trans_group_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,trans_group_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,trans_group_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Real Estate Transactions,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Registered Freehold Real Estate Units,actual_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,actual_common_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,building_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,common_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,creation_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,floor,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,grandparent_property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,is_free_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,is_lease_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,is_registered,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,land_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,land_sub_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,land_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,land_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,land_type_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,master_project_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,master_project_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,master_project_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,munc_number,internal matching field,prohibited,Pipeline lineage field.
Registered Freehold Real Estate Units,munc_zip_code,internal matching field,prohibited,Pipeline lineage field.
Registered Freehold Real Estate Units,parcel_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,parent_property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,parking_allocation_type,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,parking_allocation_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,parking_allocation_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,pre_registration_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,project_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,project_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,project_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,rooms,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,rooms_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,rooms_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Registered Freehold Real Estate Units,unit_balcony_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,unit_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Registered Freehold Real Estate Units,unit_parking_number,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,zone_id,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Registered Freehold Real Estate Units,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Rent Contracts,actual_area,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,annual_amount,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,area_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,area_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,area_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,contract_amount,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,contract_end_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,contract_id,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Rent Contracts,contract_reg_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,contract_reg_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,contract_reg_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,contract_start_date,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,ejari_bus_property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_bus_property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_bus_property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_sub_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_sub_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_sub_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_type_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_type_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,ejari_property_type_id,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,is_free_hold,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,line_number,internal matching field,prohibited,"Granular event, contract, participant or property locator."
Rent Contracts,master_project_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,master_project_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_landmark_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_landmark_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_mall_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_mall_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_metro_ar,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,nearest_metro_en,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,no_of_prop,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,project_name_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,project_name_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,project_number,safe only after aggregation,aggregate-only,Fact-level measure or identifier from a granular source.
Rent Contracts,property_usage_ar,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,property_usage_en,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Rent Contracts,tenant_type_ar,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Rent Contracts,tenant_type_en,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Rent Contracts,tenant_type_id,personal/sensitive,prohibited,"Contact, demographic or participant-characteristic field."
Rent Contracts,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
Residential Sale Index,all_monthly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,all_monthly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,all_quarterly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,all_quarterly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,all_yearly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,all_yearly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,first_date_of_month,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_monthly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_monthly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_quarterly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_quarterly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_yearly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,flat_yearly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_monthly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_monthly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_quarterly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_quarterly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_yearly_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,villa_yearly_price_index,safe public dimension,public-dimension,Official categorical label or non-personal directory fact.
Residential Sale Index,load_timestamp,internal matching field,prohibited,Pipeline lineage field.
